"Family","Species_number","Species_name","English_name","Clutch_size","Egg_mass","Mating_System","mass","wing","tarsus","bill","tail","Gender"
1,1,"Struthio camelus","Ostrich",NA,1500,4,115000,NA,NA,NA,NA,"Male"
3,7,"Dromaius novaehollandiae","Emu",8.98,581.2,1,32700,200,426,59.1,NA,"Male"
4,8,"Apteryx australis","Brown Kiwi",2,443,2,2208,NA,69.9,98.2,NA,"Male"
4,9,"Apteryx owenii","Little Spotted Kiwi",1,285,2,1135,NA,74.1,72,NA,"Male"
4,10,"Apteryx haastii","Great Spotted Kiwi",1,425,2,2610,NA,84.9,96,NA,"Male"
5,14,"Tinamus major","Great Tinamou",NA,61,1,1059,NA,NA,NA,NA,"Male"
5,45,"Nothoprocta cinerascens","Brushland Tinamou",NA,34,1,475,NA,NA,NA,NA,"Male"
6,58,"Ortalis vetula","Plain Chachalaca",2.88,55,2,584,210,59.3,23.3,233.8,"Male"
6,68,"Ortalis motmot","Little Chachalaca",NA,63,2,423,NA,NA,NA,NA,"Male"
6,101,"Crax rubra","Great Curassow",NA,218,2,4200,NA,NA,NA,NA,"Male"
7,108,"Alectura lathami","Australian Brush-turkey",14.78,190,4,2450,320.7,123.3,39.3,270.2,"Male"
7,118,"Megapodius reinwardt","Orange-footed Scrubfowl",5.5,129,2,1098,269,76.1,NA,108,"Male"
7,126,"Leipoa ocellata","Malleefowl",18.6,175,2,2040,337.88,74.8,27.6,NA,"Male"
8,131,"Tetraogallus caspius","Caspian Snowcock",7.5,75,NA,2684.5,303,67,NA,188,"Male"
8,138,"Alectoris chukar","Chukar",11.5,22.5,NA,536,168,46.8,15.2,82.3,"Male"
8,144,"Francolinus francolinus","Black Francolin",10,23.5,NA,487.5,177,57,28.6,92.3,"Male"
8,163,"Francolinus bicalcaratus","Double-spurred Francolin",6,26.5,NA,NA,177.5,56.5,28,70,"Male"
8,164,"Francolinus clappertoni","Clapperton's Francolin",NA,23,NA,604,180,63.6,NA,87.7,"Male"
8,167,"Francolinus adspersus","Red-billed Francolin",6.7,26.8,NA,461,177,54.2,NA,103,"Male"
8,168,"Francolinus capensis","Cape Francolin",7.4,33,NA,757.5,212,67.8,NA,119,"Male"
8,169,"Francolinus hildebrandti","Hildebrandt's Francolin",6,26.3,NA,622.5,174,50.3,NA,105,"Male"
8,174,"Francolinus leucoscepus","Yellow-necked Spurfowl",5,30.8,NA,753,200,64.4,NA,102,"Male"
8,175,"Francolinus rufopictus","Grey-breasted Spurfowl",4.5,28.4,NA,848,213,68,NA,95,"Male"
8,176,"Francolinus afer","Red-necked Spurfowl",6,33,NA,532.5,192,60,NA,102,"Male"
8,177,"Francolinus swainsonii","Swainson's Spurfowl",5.5,29.1,NA,732,191,60.5,NA,90.1,"Male"
8,178,"Francolinus erckelii","Erckel's Francolin",7,33,NA,1263.3,216,66.2,NA,130,"Male"
8,269,"Phasianus colchicus","Common Pheasant",11.5,31.5,4,1186,245,NA,NA,466,"Male"
8,270,"Chrysolophus pictus","Golden Pheasant",8.5,26.7,NA,875,195,70.6,29.8,678,"Male"
8,281,"Afropavo congensis","Congo Peafowl",3,70,NA,NA,318,99,NA,221,"Male"
8,286,"Dendragapus obscurus","Blue Grouse",7.1,32.5,5,1273,229,96,20,169,"Male"
8,290,"Tetrao tetrix","Black Grouse",8.5,35.5,NA,1290,257,49.7,14.6,193,"Male"
8,291,"Tetrao mlokosiewiczi","Caucasian Grouse",6,32.5,NA,865,206,50,13.6,210,"Male"
8,292,"Tetrao urogallus","Western Capercaillie",8,53,5,4240,390,70.6,31.4,312,"Male"
8,297,"Centrocercus urophasianus","Sage Grouse",7.35,43,NA,3200,340,74,41,NA,"Male"
8,298,"Tympanuchus phasianellus","Sharp-tailed Grouse",11.78,24,5,953,NA,NA,NA,NA,"Male"
8,299,"Tympanuchus cupido","Greater Prairie-chicken",10.55,24.5,5,933,229,48,NA,104.7,"Male"
8,301,"Meleagris gallopavo","Wild Turkey",10.52,78.8,5,7400,511,136.8,34.8,372.5,"Male"
9,303,"Agelastes meleagrides","White-breasted Guineafowl",NA,29.2,NA,NA,209,84,NA,152.5,"Male"
9,304,"Agelastes niger","Black Guineafowl",NA,29.5,NA,NA,209,82,NA,156,"Male"
9,305,"Numida meleagris","Helmeted Guineafowl",8,39.4,2,1597,269,84,NA,172,"Male"
9,306,"Guttera plumifera","Plumed Guineafowl",9.5,38.5,NA,NA,228,83,NA,131,"Male"
9,307,"Guttera pucherani","Crested Guineafowl",4.5,48.6,NA,1149,268,93,NA,151,"Male"
9,308,"Acryllium vulturinum","Vulturine Guineafowl",NA,49,NA,1335.5,298,109,NA,272,"Male"
12,343,"Anseranas semipalmata","Magpie Goose",9.05,128,2,2766,419,106,80,NA,"Male"
13,344,"Dendrocygna guttata","Spotted Whistling-Duck",NA,50,NA,NA,NA,NA,NA,NA,"Male"
13,345,"Dendrocygna eytoni","Plumed Whistling-Duck",11,40,2,788,232,59.5,40,69.2,"Male"
13,346,"Dendrocygna bicolor","Fulvous Whistling-Duck",13.34,51,2,675,216,54.2,46.2,51.5,"Male"
13,347,"Dendrocygna arcuata","Wandering Whistling-Duck",10.5,40,2,866,214,52,48,54.5,"Male"
13,349,"Dendrocygna viduata","White-faced Whistling-Duck",7.25,36,NA,686,219,52.6,47.7,55.4,"Male"
13,350,"Dendrocygna arborea","West Indian Whistling-Duck",NA,54,NA,NA,NA,NA,NA,NA,"Male"
13,351,"Dendrocygna autumnalis","Black-bellied Whistling-Duck",13.4,44,NA,813,NA,NA,NA,NA,"Male"
13,352,"Thalassornis leuconotus","White-backed Duck",6.75,84,NA,720,NA,NA,NA,NA,"Male"
14,353,"Oxyura dominica","Masked Duck",NA,70,NA,406,NA,NA,NA,NA,"Male"
14,354,"Oxyura jamaicensis","Ruddy Duck",8.1,73,NA,590,NA,NA,NA,68.8,"Male"
14,356,"Oxyura leucocephala","White-headed Duck",7.5,96,NA,737,162,35.9,45.5,92.4,"Male"
14,357,"Oxyura maccoa","Maccoa Duck",5.9,96,4,820,169,34,41,72.5,"Male"
14,358,"Oxyura vittata","Lake Duck",NA,86,NA,690,NA,NA,NA,NA,"Male"
14,359,"Oxyura australis","Blue-billed Duck",5.5,90,2,812,160,37.3,40.3,66.5,"Male"
14,360,"Biziura lobata","Musk Duck",2.8,128,5,2398,223,52.6,41,113.5,"Male"
14,362,"Stictonetta naevosa","Freckled Duck",6,66,2,969,234,47.8,56.6,68.8,"Male"
14,363,"Cygnus olor","Mute Swan",5.3,340,2,11800,606,NA,NA,224,"Male"
14,364,"Cygnus atratus","Black Swan",4.55,258,2,6200,511.7,100.3,70.8,105.5,"Male"
14,365,"Cygnus melanocorypha","Black-necked Swan",NA,247,2,5400,NA,NA,NA,NA,"Male"
14,366,"Cygnus cygnus","Whooper Swan",4.4,331,2,14000,NA,NA,NA,169,"Male"
14,367,"Cygnus buccinator","Trumpeter Swan",NA,324,NA,11400,NA,NA,NA,NA,"Male"
14,368,"Cygnus columbianus","Tundra Swan",4,280,2,7258,531,NA,NA,151,"Male"
14,369,"Coscoroba coscoroba","Coscoroba Swan",NA,185,NA,4600,NA,NA,NA,NA,"Male"
14,370,"Anser cygnoides","Swan Goose",NA,145,NA,3500,NA,NA,NA,NA,"Male"
14,371,"Anser brachyrhynchus","Pink-footed Goose",4.4,120,NA,2770,443,NA,NA,135,"Male"
14,372,"Anser fabalis","Bean Goose",5,146,NA,3198,NA,NA,NA,132,"Male"
14,373,"Anser albifrons","Greater White-fronted Goose",5.5,125,2,2853,428,NA,NA,119,"Male"
14,374,"Anser erythropus","Lesser White-fronted Goose",5.83,100,NA,1870,NA,NA,NA,139,"Male"
14,375,"Anser anser","Greylag Goose",NA,160,2,3692,NA,NA,NA,139,"Male"
14,376,"Anser indicus","Bar-headed Goose",NA,141,NA,2505,NA,NA,NA,NA,"Male"
14,377,"Anser caerulescens","Snow Goose",NA,127,2,2744,423.9,NA,NA,NA,"Male"
14,378,"Anser rossii","Ross's Goose",NA,92,NA,1679,NA,NA,NA,NA,"Male"
14,379,"Anser canagica","Emperor Goose",NA,120,NA,2812,NA,NA,NA,NA,"Male"
14,380,"Branta sandvicensis","Nene",3.13,131,2,2010,NA,NA,NA,NA,"Male"
14,381,"Branta canadensis","Canada Goose",5,163,2,3814,506,NA,NA,150,"Male"
14,382,"Branta leucopsis","Barnacle Goose",NA,107,2,1788,410,NA,NA,126,"Male"
14,383,"Branta bernicla","Brent Goose",4,91,2,1370,340,NA,NA,94.6,"Male"
14,384,"Branta ruficollis","Red-breasted Goose",NA,90,NA,1375,NA,NA,NA,109,"Male"
14,385,"Cereopsis novaehollandiae","Cape Barren Goose",4.24,137,2,5290,470,111.2,50.5,169,"Male"
14,387,"Chloephaga melanoptera","Andean Goose",NA,113,NA,2730,NA,NA,NA,NA,"Male"
14,389,"Chloephaga hybrida","Kelp Goose",NA,139,NA,2611,NA,NA,NA,NA,"Male"
14,390,"Chloephaga poliocephala","Ashy-headed Goose",NA,89,NA,2267,NA,NA,NA,NA,"Male"
14,392,"Neochen jubata","Orinoco Goose",NA,63,NA,NA,NA,NA,NA,NA,"Male"
14,393,"Alopochen aegyptiacus","Egyptian Goose",8.5,97,NA,2075,392,85.5,49.6,123,"Male"
14,394,"Tadorna ferruginea","Ruddy Shelduck",8.5,83,NA,1360,NA,NA,NA,125,"Male"
14,395,"Tadorna cana","South African Shelduck",10,83,NA,1758,355.8,58,45.2,125.9,"Male"
14,396,"Tadorna tadornoides","Australian Shelduck",9.33,93,2,1559,358,65.4,46,113,"Male"
14,397,"Tadorna variegata","Paradise Shelduck",9.4,91,2,1712,374.5,67.1,43.7,128.2,"Male"
14,399,"Tadorna tadorna","Common Shelduck",10.58,78,NA,1261,334,NA,NA,108,"Male"
14,400,"Tadorna radjah","Radjah Shelduck",NA,59,2,934,282,54.9,46,106.2,"Male"
14,401,"Tachyeres pteneres","Flightless Steamerduck",NA,166.5,NA,5394,NA,NA,NA,NA,"Male"
14,403,"Tachyeres brachypterus","Falkland Steamerduck",NA,147,NA,4200,NA,NA,NA,NA,"Male"
14,404,"Tachyeres patachonicus","Flying Steamerduck",NA,115,NA,2958,NA,NA,NA,NA,"Male"
14,405,"Plectropterus gambensis","Spur-winged Goose",6.5,140,4,6100,NA,NA,NA,NA,"Male"
14,406,"Cairina moschata","Muscovy Duck",NA,74,4,3000,NA,NA,NA,NA,"Male"
14,407,"Cairina scutulata","White-winged Duck",NA,72.3,NA,3400,NA,NA,NA,NA,"Male"
14,409,"Sarkidiornis melanotos","Comb Duck",8.5,66,NA,1455,359,59.8,51,137.7,"Male"
14,410,"Nettapus pulchellus","Green Pygmy-goose",NA,30,2,310,173.8,26.9,24.6,66.7,"Male"
14,411,"Nettapus coromandelianus","Cotton Pygmy-goose",NA,27,2,282,186.5,28.4,23,67,"Male"
14,412,"Nettapus auritus","African Pygmy-goose",9,23,NA,285,NA,NA,NA,NA,"Male"
14,414,"Aix sponsa","Wood Duck",10.95,44,2,680,NA,NA,NA,NA,"Male"
14,415,"Aix galericulata","Mandarin Duck",11.5,41,NA,628,NA,NA,NA,101,"Male"
14,416,"Chenonetta jubata","Maned Duck",NA,54,2,815,277,51.2,27.9,95.7,"Male"
14,422,"Anas specularis","Spectacled Duck",NA,53,NA,1460,NA,NA,NA,NA,"Male"
14,423,"Anas capensis","Cape Teal",8.09,50,NA,419,NA,NA,NA,NA,"Male"
14,424,"Anas strepera","Gadwall",9.96,44,NA,990,269,NA,NA,86,"Male"
14,425,"Anas falcata","Falcated Duck",NA,49,NA,713,NA,NA,NA,NA,"Male"
14,426,"Anas penelope","Eurasian Wigeon",9,44,NA,819,NA,NA,NA,106,"Male"
14,427,"Anas americana","American Wigeon",8.48,43,2,821,263,NA,NA,116,"Male"
14,428,"Anas sibilatrix","Chiloe Wigeon",NA,53,NA,939,NA,NA,NA,NA,"Male"
14,429,"Anas sparsa","African Black Duck",NA,71.7,NA,1086,NA,43,47,110,"Male"
14,430,"Anas rubripes","American Black Duck",9.33,63,2,1252,285,NA,NA,NA,"Male"
14,431,"Anas fulvigula","Mottled Duck",9.4,55.5,NA,1030,259,NA,NA,NA,"Male"
14,432,"Anas platyrhynchos","Mallard",10.53,54,2,1210,279,NA,NA,85.8,"Male"
14,435,"Anas poecilorhyncha","Spot-billed Duck",NA,57,NA,1365,NA,NA,NA,NA,"Male"
14,437,"Anas superciliosa","Pacific Black Duck",11,63,2,1059,261,46,52,88,"Male"
14,438,"Anas undulata","Yellow-billed Duck",7.8,55,NA,954,583,45,52,100,"Male"
14,439,"Anas melleri","Meller's Duck",NA,45,NA,1010,NA,NA,NA,NA,"Male"
14,440,"Anas discors","Blue-winged Teal",10.1,29,2,478,182.9,NA,NA,65,"Male"
14,441,"Anas cyanoptera","Cinnamon Teal",9.13,32,NA,408,NA,NA,NA,71,"Male"
14,443,"Anas platalea","Red Shoveler",NA,46,NA,608,NA,NA,NA,NA,"Male"
14,444,"Anas rhynchotis","Australian Shoveler",10,43.2,2,667,248,37.6,61.9,78.6,"Male"
14,445,"Anas clypeata","Northern Shoveler",9.2,40,2,636,NA,NA,NA,81.7,"Male"
14,446,"Anas bernieri","Bernier's Teal",NA,36,NA,380,NA,NA,NA,NA,"Male"
14,447,"Anas gibberifrons","Sunda Teal",NA,35,NA,508,NA,NA,NA,NA,"Male"
14,449,"Anas castanea","Chestnut Teal",9.5,40,2,683,217.6,38.1,40.8,91.3,"Male"
14,451,"Anas bahamensis","White-cheeked Pintail",NA,34,NA,503,NA,NA,NA,NA,"Male"
14,452,"Anas erythrorhyncha","Red-billed Duck",10,39,NA,617,223.8,36,44.3,81.3,"Male"
14,453,"Anas flavirostris","Speckled Teal",NA,39,NA,429,NA,NA,NA,NA,"Male"
14,454,"Anas acuta","Northern Pintail",8.3,45,2,1025,275,NA,NA,179,"Male"
14,455,"Anas eatoni","Eaton's Pintail",4.11,37,2,497,229.4,33.5,36.6,103.1,"Male"
14,456,"Anas georgica","Yellow-billed Pintail",NA,37,2,632,217,37,34,100,"Male"
14,457,"Anas querquedula","Garganey",8.5,27,NA,342,NA,NA,NA,66.1,"Male"
14,458,"Anas formosa","Baikal Teal",NA,31,NA,437,NA,NA,NA,NA,"Male"
14,459,"Anas crecca","Common Teal",9.5,26.5,2,322,187,NA,NA,66.9,"Male"
14,461,"Anas versicolor","Silver Teal",NA,34,NA,442,NA,NA,NA,NA,"Male"
14,466,"Netta rufina","Red-crested Pochard",9,56,NA,1130,NA,NA,NA,70.6,"Male"
14,468,"Netta erythrophthalma","Southern Pochard",6.7,59,NA,788,217.5,39.6,44,59,"Male"
14,469,"Aythya ferina","Common Pochard",8.54,66,NA,849,NA,NA,NA,54.2,"Male"
14,470,"Aythya valisineria","Canvasback",8.1,68,2,1252,NA,NA,NA,57.1,"Male"
14,471,"Aythya americana","Redhead",NA,65,NA,1100,NA,NA,NA,NA,"Male"
14,472,"Aythya collaris","Ring-necked Duck",8.84,51,2,744,206,NA,NA,NA,"Male"
14,473,"Aythya nyroca","Ferruginous Pochard",9,43,NA,583,NA,NA,NA,54,"Male"
14,475,"Aythya baeri","Baer's Pochard",NA,43,NA,880,NA,NA,NA,NA,"Male"
14,476,"Aythya australis","Hardhead",11,60,NA,902,218.9,39.9,44.8,NA,"Male"
14,477,"Aythya fuligula","Tufted Duck",9.5,56,NA,723,NA,NA,NA,53.7,"Male"
14,478,"Aythya novaeseelandiae","New Zealand Scaup",7.39,63,2,677,187.7,35.4,38.7,56.2,"Male"
14,479,"Aythya marila","Greater Scaup",9.5,67,2,1052,227,NA,NA,56.3,"Male"
14,480,"Aythya affinis","Lesser Scaup",9.91,51,2,825,NA,NA,NA,52.3,"Male"
14,481,"Somateria mollissima","Common Eider",3.06,110,2,2218,NA,NA,NA,96,"Male"
14,482,"Somateria spectabilis","King Eider",4.5,73,NA,1668,NA,NA,NA,82.8,"Male"
14,483,"Somateria fischeri","Spectacled Eider",NA,73,NA,1432,NA,NA,NA,NA,"Male"
14,484,"Polysticta stelleri","Steller's Eider",7,58,NA,773,NA,NA,NA,NA,"Male"
14,486,"Histrionicus histrionicus","Harlequin Duck",5.7,53,2,653,205,NA,NA,93,"Male"
14,487,"Clangula hyemalis","Long-tailed Duck",7.5,43,2,661,NA,NA,NA,215,"Male"
14,488,"Melanitta nigra","Black Scoter",6.8,72,2,1100,NA,NA,NA,92.3,"Male"
14,489,"Melanitta perspicillata","Surf Scoter",NA,62,NA,1000,NA,NA,NA,NA,"Male"
14,490,"Melanitta fusca","White-winged Scoter",8.43,92,2,1794,NA,NA,NA,81.2,"Male"
14,491,"Bucephala clangula","Common Goldeneye",9.3,57,NA,1000,NA,NA,NA,84.6,"Male"
14,492,"Bucephala islandica","Barrow's Goldeneye",9.5,70,NA,1090,NA,NA,NA,88.9,"Male"
14,493,"Bucephala albeola","Bufflehead",NA,37,2,481,NA,NA,NA,67.5,"Male"
14,494,"Mergellus albellus","Smew",8,42,NA,652,NA,NA,NA,74.8,"Male"
14,495,"Lophodytes cucullatus","Hooded Merganser",NA,60,NA,680,NA,NA,NA,NA,"Male"
14,497,"Mergus serrator","Red-breasted Merganser",9.2,72,2,1135,NA,NA,NA,81.2,"Male"
14,499,"Mergus merganser","Common Merganser",9.4,82,2,1709,NA,NA,NA,105,"Male"
23,971,"Ceratogymna bucinator","Trumpeter Hornbill",3,30.9,NA,739,288,44,136,216,"Male"
23,972,"Ceratogymna fistulator","Piping Hornbill",1.5,33,NA,463,267,NA,NA,185,"Male"
23,973,"Ceratogymna brevis","Silvery-cheeked Hornbill",1.5,27.6,NA,1308,369,55,171,276,"Male"
23,977,"Ceratogymna atrata","Black-casqued Hornbill",1.5,44.7,NA,1264,395,53,186,306,"Male"
24,979,"Bucorvus abyssinicus","Abyssinian Ground-Hornbill",1.5,95.3,NA,4000,560,151,264,348,"Male"
24,980,"Bucorvus leadbeateri","Southern Ground-Hornbill",NA,100.5,NA,4358,560,143,207,NA,"Male"
35,1088,"Dacelo novaeguineae","Laughing Kookaburra",2.92,30.4,2,307.2,212.7,26.8,68.5,158,"Male"
35,1089,"Dacelo leachii","Blue-winged Kookaburra",2.58,33,2,283.9,194.1,26.9,77.4,124,"Male"
36,1148,"Megaceryle maxima","Giant Kingfisher",3.5,30.6,NA,350,205,NA,90,115,"Male"
45,1387,"Calyptorhynchus baudinii","White-tailed Black-Cockatoo",1.5,29,NA,630.7,386.3,30.2,54.2,269,"Male"
45,1388,"Calyptorhynchus latirostris","Slender-billed Black-Cockatoo",1.5,32.8,2,649.7,371.8,31,44.9,263.1,"Male"
45,1389,"Calyptorhynchus funereus","Yellow-tailed Black-Cockatoo",2,33.8,2,731,417.3,30.4,49.5,333.5,"Male"
45,1390,"Calyptorhynchus banksii","Red-tailed Black-Cockatoo",1,33.5,2,740.9,424.4,30.4,52.3,289.2,"Male"
45,1391,"Calyptorhynchus lathami","Glossy Black-Cockatoo",1,25.5,2,462.5,353.1,21.1,46.1,222.2,"Male"
45,1396,"Cacatua galerita","Sulphur-crested Cockatoo",2.5,28,2,815,344,30.5,42.8,179,"Male"
45,1407,"Nestor notabilis","Kea",2.5,26,2,956,322.5,47.5,49.1,157.2,"Male"
45,1490,"Strigops habroptilus","Kakapo",2.2,36,5,2060,276,52.8,38.7,224.5,"Male"
49,2117,"Tauraco persa","Guinea Turaco",2,25,NA,NA,NA,NA,NA,214,"Male"
49,2134,"Corythaixoides concolor","Grey Go-away-bird",2.6,24,NA,268,219,NA,NA,NA,"Male"
49,2135,"Corythaixoides personatus","Bare-faced Go-away-bird",2.5,24,NA,NA,213,NA,NA,258,"Male"
49,2139,"Corythaeola cristata","Great Blue Turaco",2,54,NA,903,335,53.5,40,350,"Male"
50,2140,"Tyto tenebricosa","Greater Sooty-Owl",1.6,42.5,2,492,284.7,63.6,39.7,138.4,"Male"
50,2147,"Tyto novaehollandiae","Australian Masked-Owl",2.6,23.5,2,475.8,308.1,64.1,38.2,NA,"Male"
50,2153,"Tyto capensis","African Grass-Owl",3,24.2,NA,NA,333.5,80,NA,120,"Male"
51,2204,"Bubo virginianus","Great Horned Owl",2.55,69,NA,1304,357,113,25.5,210,"Male"
51,2205,"Bubo bubo","Eurasian Eagle-Owl",2,80,2,2380,444,79.3,51.1,196,"Male"
51,2208,"Bubo capensis","Cape Eagle-Owl",2.1,57,NA,929,357,71,44,204,"Male"
51,2209,"Bubo africanus","Spotted Eagle-Owl",2.5,47.4,NA,NA,333,74,39,196,"Male"
51,2210,"Bubo poensis","Fraser's Eagle-Owl",NA,58.3,NA,575,301,55,42,163,"Male"
51,2215,"Bubo lacteus","Verreaux's Eagle-Owl",2,80.3,NA,1704,448,78,55,244,"Male"
51,2223,"Scotopelia peli","Pel's Fishing-Owl",2,61.5,NA,NA,431,74,55,235,"Male"
51,2226,"Nyctea scandiaca","Snowy Owl",6.67,63.5,NA,1491,409,52.3,42.5,212,"Male"
51,2230,"Strix aluco","Tawny Owl",2.5,39,2,397,267,46.5,30.5,155,"Male"
51,2232,"Strix occidentalis","Spotted Owl",2.13,46,NA,579,320,60.2,36.8,203,"Male"
51,2233,"Strix varia","Barred Owl",2.41,47.2,NA,621.9,318,NA,23.5,225.4,"Male"
51,2237,"Strix uralensis","Ural Owl",2.89,48,2,590,358,51.4,39.6,272,"Male"
51,2239,"Strix nebulosa","Great Grey Owl",4,52,2,884,446,53.9,41.1,298,"Male"
51,2244,"Strix woodfordii","African Wood-Owl",2,38.6,NA,248,249,46,30,153,"Male"
51,2285,"Ninox strenua","Powerful Owl",1.85,56.5,2,1447.2,403.7,56.8,46.3,250.9,"Male"
51,2286,"Ninox connivens","Barking Owl",2.3,39.3,2,694.5,310.6,44.5,31.4,171.1,"Male"
51,2289,"Ninox novaeseelandiae","Morepork",2.5,22.2,2,189.8,206.1,36.8,23.2,115.7,"Male"
51,2306,"Asio otus","Long-eared Owl",3,23,2,233,294,38.2,27.4,137,"Male"
51,2311,"Asio capensis","Marsh Owl",2.5,26.2,NA,340,292,58,30.7,152,"Male"
53,2321,"Podargus strigoides","Tawny Frogmouth",2.08,25,2,308,276.6,29.2,41.5,198,"Male"
53,2322,"Podargus papuensis","Papuan Frogmouth",1,26,2,383,296.6,30.4,51.3,271.5,"Male"
60,2441,"Columba trocaz","Trocaz Pigeon",1,26.2,NA,NA,252,36.3,21,178,"Male"
60,2732,"Ducula spilorrhoa","Torresian Imperial-Pigeon",NA,22.6,2,468.1,NA,NA,NA,NA,"Male"
60,2736,"Hemiphaga novaeseelandiae","New Zealand Pigeon",1,26.1,2,624,262.8,NA,17,193.6,"Male"
62,2746,"Tetrax tetrax","Little Bustard",3.5,41,NA,NA,252,67.3,23.17,101,"Male"
62,2747,"Otis tarda","Great Bustard",2.5,143,NA,11975,617,158,36.8,243,"Male"
62,2748,"Neotis denhami","Stanley Bustard",1.5,126,NA,NA,604,171.14,84.44,315,"Male"
62,2752,"Ardeotis arabs","Arabian Bustard",2,115,NA,NA,604,176.71,80.64,315,"Male"
62,2753,"Ardeotis kori","Kori Bustard",1.5,158,NA,10870,761,241,106.5,378,"Male"
62,2754,"Ardeotis nigriceps","Indian Bustard",NA,145,NA,NA,661.17,193.17,73.73,NA,"Male"
62,2755,"Ardeotis australis","Australian Bustard",1.71,136,NA,NA,582.25,169.67,64,243,"Male"
62,2756,"Chlamydotis undulata","Houbara Bustard",2.5,68,NA,NA,399.16,96.08,37.21,215,"Male"
62,2758,"Eupodotis gindiana","Buff-crested Bustard",NA,46,NA,688.3,262.83,85.22,30.69,NA,"Male"
62,2759,"Eupodotis ruficrista","Red-crested Bustard",1.5,49,NA,NA,263.92,81.33,33.83,136,"Male"
62,2762,"Eupodotis rueppellii","Rueppell's Bustard",NA,53,NA,NA,329,85.3,NA,NA,"Male"
62,2763,"Eupodotis vigorsii","Karoo Bustard",1.5,64,NA,1613.9,337.4,84.6,35.7,164,"Male"
62,2764,"Eupodotis humilis","Little Brown Bustard",2,33,NA,NA,252.6,65.25,29.67,115,"Male"
62,2766,"Eupodotis caerulescens","Blue Bustard",2,60,NA,NA,333.5,98.38,27.25,158,"Male"
62,2767,"Eupodotis melanogaster","Black-bellied Bustard",1.5,73,NA,1010,345.46,129.27,40.48,178,"Male"
62,2769,"Eupodotis bengalensis","Bengal Florican",NA,72,NA,NA,333,133.93,33.2,NA,"Male"
62,2770,"Eupodotis indica","Lesser Florican",NA,46,NA,NA,187.83,91.75,32.83,NA,"Male"
63,2771,"Balearica pavonina","Black Crowned-Crane",2.5,137,NA,NA,NA,NA,NA,NA,"Male"
63,2772,"Balearica regulorum","Grey Crowned-Crane",2.52,152,NA,NA,NA,NA,NA,NA,"Male"
63,2773,"Grus leucogeranus","Siberian Crane",NA,197,NA,6166.2,626,284,192,217,"Male"
63,2774,"Grus antigone","Sarus Crane",1.83,225,2,6666.7,628,297.67,157.67,231.7,"Male"
63,2775,"Grus rubicunda","Brolga",1.84,181,2,6838,587,291.4,162,235.8,"Male"
63,2777,"Grus canadensis","Sandhill Crane",1.94,152,2,4800,NA,230.6,119.7,167,"Male"
63,2778,"Grus virgo","Demoiselle Crane",NA,128,NA,2416,495,188,66.3,NA,"Male"
63,2779,"Grus paradisea","Blue Crane",NA,185,NA,NA,NA,NA,NA,NA,"Male"
63,2780,"Grus carunculatus","Wattled Crane",NA,240,NA,NA,669.7,321.6,NA,NA,"Male"
63,2781,"Grus grus","Common Crane",2,195,2,5095,593,258,109,210,"Male"
63,2783,"Grus americana","Whooping Crane",1.94,209,NA,NA,601.7,276.5,138.5,NA,"Male"
69,2805,"Himantornis haematopus","Nkulengu Rail",3,38.5,NA,NA,220,81,NA,85,"Male"
69,2806,"Canirallus oculeus","Grey-throated Rail",NA,24.5,NA,NA,173,52,39,64,"Male"
69,2836,"Gallirallus sylvestris","Lord Howe Rail",2.5,29,2,536,143.7,50.7,53.4,60.7,"Male"
69,2909,"Eulabeornis castaneoventris","Chestnut Rail",4.5,40.7,NA,NA,223.3,71.7,58.2,123.3,"Male"
69,2913,"Porphyrio porphyrio","Purple Swamphen",4,41.5,2,869,265,102,44.6,100,"Male"
69,2915,"Porphyrio mantelli","Takahe",1.7,93,2,2673,249.7,97.4,86.7,119.3,"Male"
69,2922,"Gallinula chloropus","Common Moorhen",7,22.3,2,359,185,51.3,26.3,74.7,"Male"
69,2923,"Gallinula tenebrosa","Dusky Moorhen",8.01,34,2,570,208.5,63.3,46.2,NA,"Male"
69,2926,"Gallinula ventralis","Black-tailed Native-hen",5.9,24,NA,410,218.3,61.7,33,82.7,"Male"
69,2927,"Gallinula mortierii","Tasmanian Native-hen",6.36,45,2,1334,202.4,83.9,41.5,95.9,"Male"
69,2928,"Fulica cristata","Red-knobbed Coot",6,41,NA,985,227,71.8,32.9,59.4,"Male"
69,2929,"Fulica atra","Common Coot",8,36.5,NA,835,219,61.7,29,55.4,"Male"
69,2930,"Fulica alai","Hawaiian Coot",5,28,NA,NA,181.7,57.4,54,NA,"Male"
69,2931,"Fulica americana","American Coot",7.5,28.9,NA,629,NA,63.1,NA,52.4,"Male"
71,2942,"Syrrhaptes tibetanus","Tibetan Sandgrouse",NA,27.5,NA,NA,262,NA,NA,NA,"Male"
71,2944,"Pterocles alchata","Pin-tailed Sandgrouse",2.96,25,NA,250,209,27.9,13.6,157,"Male"
71,2948,"Pterocles gutturalis","Yellow-throated Sandgrouse",3,30,NA,342,217,29.9,14.6,88.1,"Male"
71,2949,"Pterocles orientalis","Black-bellied Sandgrouse",2.76,28,NA,428,237,30.3,13.4,94.4,"Male"
74,2963,"Scolopax rusticola","Eurasian Woodcock",3.84,24.5,NA,306,202,36.2,70.9,84,"Male"
74,2974,"Gallinago media","Great Snipe",4,23.2,NA,155,144,35.7,61.2,54.4,"Male"
